Site,Class,Image,Shapefile,Avg_BV_Band1,Avg_BV_Band2,Avg_BV_Band3
244,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,55178.984375,34074.1992188,73859.9296875
245,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,36255.1757813,21109.8652344,56214.2617188
246,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,49888.0820313,34074.1992188,98826.96875
247,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,49056.9648438,36486.4335938,60459.3046875
248,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,33898.8867188,25478.640625,51324.6171875
249,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,79852.578125,55948.9960938,87005.4296875
250,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,97688.3359375,57895.546875,100642.085938
251,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,68647.328125,41835.3007813,147491.5
252,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,94460.5390625,60943.0898438,193789.109375
253,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,52466.8828125,30751.5527344,108242.109375
254,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,37494.046875,25046.6601563,58298.15625
255,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,55178.984375,31821.4472656,122949.109375
256,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,31695.7363281,23390.7460938,52267.2773438
257,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,38129.2695313,24622.0039063,69935.296875
258,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,25052.7148438,15253.9804688,47720.9492188
259,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,43614.171875,22604.3085938,91888.0078125
260,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,47436.0351563,28231.5605469,98826.96875
261,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,35057.2421875,22604.3085938,72527.84375
262,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,20478.6347656,16615.5742188,28667.6835938
263,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,53355.7734375,30751.5527344,114316.453125
264,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,62064.9960938,38407.0273438,129848.773438
265,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,15390.9882813,12856.3837891,21038.8457031
266,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,22650.5058594,15784.6904297,39062.796875
267,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,35057.2421875,24622.0039063,66219.203125
268,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,72195.8203125,44037.453125,152959.09375
269,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,38129.2695313,24204.546875,51324.6171875
270,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,17604.9863281,10835.6376953,35021.7929688
271,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,49888.0820313,26819.8027344,91888.0078125
272,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,39432.1757813,20751.9550781,71219.7734375
273,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,86849.96875,53151.1914063,197348.359375
274,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,67503.6875,43290.8164063,132233.65625
275,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,64185.8125,37755.8515625,76597.9609375
276,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,96060.8828125,60943.0898438,216149.546875
277,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,73418.953125,45569.5859375,164509.859375
278,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,51592.8007813,34661.8789063,125207.265625
279,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,50733.2851563,35867.8203125,108242.109375
280,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,42887.5742188,29717.6308594,102490.539063
281,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,36255.1757813,23794.1679688,69935.296875
282,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,32232.7226563,22604.3085938,61569.7382813
283,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,32232.7226563,19714.2265625,61569.7382813
284,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,37494.046875,22221.0605469,75216.4921875
285,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,56113.8242188,37115.7148438,137135.640625
286,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,45868.6640625,29213.7792969,112254.710938
287,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,96060.8828125,73555.5234375,193789.109375
