Site,Class,Image,Shapefile,Avg_BV_Band1,Avg_BV_Band2,Avg_BV_Band3
160,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,38775.25,16902.1445313,91888.0078125
161,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,25052.7148438,14003.9648438,49489.9921875
162,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,30137.859375,14245.4921875,27642.9433594
163,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,28656.5546875,14741.1142578,36320.0703125
164,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,25052.7148438,13303.6777344,43570.0742188
165,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,117516.898438,63063.3945313,137135.640625
166,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,20137.46875,12213.4824219,35665.0234375
167,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,16186.5742188,9613.23242188,27144.3925781
168,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,22273.15625,13303.6777344,42012.640625
169,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,69810.34375,38407.0273438,78004.8125
170,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,25477.1542969,13533.1269531,38358.2851563
171,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,22650.5058594,12856.3837891,35665.0234375
172,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,13683.3828125,9450.24316406,23466.4199219
173,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,16739.6835938,9450.24316406,29730.4121094
174,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,19801.984375,12006.4082031,33769.921875
175,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,17604.9863281,11406.0107422,27642.9433594
176,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,55178.984375,23794.1679688,155768.4375
177,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,43614.171875,24204.546875,114316.453125
178,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,28656.5546875,14741.1142578,49489.9921875
179,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,45868.6640625,25918.0722656,116416.0625
180,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,63116.4960938,31821.4472656,152959.09375
